"date","bus_rkl","rail_lrt_ampang","rail_mrt_kajang","rail_lrt_kj","rail_monorail","rail_mrt_pjy","ron95","ron97","diesel","preciptype","temp","uvindex","holiday","covid"
"2019-01-01",146342.6718507,113357,114173,139634,35804,49672.3705263158,2.2,2.5,2.18,1,82.1,7,1,0
"2019-01-02",146342.6718507,182715,169316,274224,31859,49672.3705263158,2.2,2.5,2.18,1,81.5,8,0,0
"2019-01-03",146342.6718507,187904,175304,286469,31893,49672.3705263158,2.2,2.5,2.18,0,83.1,7,0,0
"2019-01-04",146342.6718507,198420,187891,304755,34121,49672.3705263158,2.2,2.5,2.18,0,83.1,7,0,0
"2019-01-05",146342.6718507,120773,112660,145036,29950,49672.3705263158,1.93,2.23,2.04,0,83.6,9,0,0
"2019-01-06",146342.6718507,101145,95913,120032,25342,49672.3705263158,1.93,2.23,2.04,0,84.1,8,0,0
"2019-01-07",146342.6718507,197569,184365,301290,31988,49672.3705263158,1.93,2.23,2.04,1,83.9,7,0,0
"2019-01-08",146342.6718507,196879,185920,304680,31792,49672.3705263158,1.93,2.23,2.04,1,83,6,0,0
"2019-01-09",146342.6718507,197314,188770,307069,32305,49672.3705263158,1.93,2.23,2.04,1,83.5,6,0,0
"2019-01-10",146342.6718507,198876,189818,310510,32057,49672.3705263158,1.93,2.23,2.04,1,83.6,7,0,0
"2019-01-11",146342.6718507,209859,204378,326471,33265,49672.3705263158,1.93,2.23,2.04,1,83.9,7,0,0
"2019-01-12",146342.6718507,124608,123932,152720,30671,49672.3705263158,1.92,2.22,2.05,0,84.2,10,0,0
"2019-01-13",146342.6718507,106718,108346,127805,27235,49672.3705263158,1.92,2.22,2.05,1,84.1,9,0,0
"2019-01-14",146342.6718507,199162,192036,306455,32172,49672.3705263158,1.92,2.22,2.05,1,81.6,5,1,0
"2019-01-15",146342.6718507,195405,189880,305742,31260,49672.3705263158,1.92,2.22,2.05,0,82.9,9,0,0
"2019-01-16",146342.6718507,198901,194697,311279,31612,49672.3705263158,1.92,2.22,2.05,1,82.7,6,0,0
"2019-01-17",146342.6718507,201926,194701,314277,31234,49672.3705263158,1.92,2.22,2.05,1,81,6,0,0
"2019-01-18",146342.6718507,217270,212546,330484,35981,49672.3705263158,1.92,2.22,2.05,1,83.3,8,0,0
"2019-01-19",146342.6718507,130758,127306,157194,30339,49672.3705263158,1.98,2.28,2.17,0,83.8,10,0,0
"2019-01-20",146342.6718507,105012,110488,125599,27159,49672.3705263158,1.98,2.28,2.17,1,82.8,9,1,0
"2019-01-21",146342.6718507,103443,106077,125094,23836,49672.3705263158,1.98,2.28,2.17,1,82.4,8,1,0
"2019-01-22",146342.6718507,196298,189718,304452,31245,49672.3705263158,1.98,2.28,2.17,1,82.8,8,0,0
"2019-01-23",146342.6718507,197309,193904,308968,31051,49672.3705263158,1.98,2.28,2.17,0,84.7,9,0,0
"2019-01-24",146342.6718507,198692,193784,313285,32338,49672.3705263158,1.98,2.28,2.17,1,82.6,7,0,0
"2019-01-25",146342.6718507,215764,210356,332682,36334,49672.3705263158,1.98,2.28,2.17,1,82.1,8,0,0
"2019-01-26",146342.6718507,136301,133944,161765,33508,49672.3705263158,1.98,2.28,2.18,1,80.8,7,0,0
"2019-01-27",146342.6718507,107763,114660,128906,27630,49672.3705263158,1.98,2.28,2.18,1,82.7,4,0,0
"2019-01-28",146342.6718507,201365,193349,311540,32889,49672.3705263158,1.98,2.28,2.18,1,82.9,6,0,0
"2019-01-29",146342.6718507,201416,197553,317389,33093,49672.3705263158,1.98,2.28,2.18,1,81.5,7,0,0
"2019-01-30",146342.6718507,203261,200482,320084,33103,49672.3705263158,1.98,2.28,2.18,1,81.6,5,0,0
"2019-01-31",146342.6718507,216817,209858,324593,35298,49672.3705263158,1.98,2.28,2.18,1,82.8,8,0,0
